provinsi,jenis,daerah,tahun,gk,ump,peng,upah,gk_category,income_to_expense_ratio,poverty_to_income_ratio,Cluster
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,395136.0,11226,Rendah,4.808471007450599,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,260183.0,11226,Rendah,7.302552434248202,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,655319.0,11226,Rendah,2.8993513082941287,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,466355.0,11226,Rendah,4.074149521287431,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,529945.0,11226,Rendah,3.5852777174989856,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,996300.0,11226,Rendah,1.907056107598113,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,415354.0,11226,Rendah,4.5744112251236295,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,336764.0,11226,Rendah,5.641933223266145,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,293697.0,1900000.0,752118.0,11226,Rendah,2.5261993463791588,0.15457736842105263,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,395136.0,11226,Sedang,4.808471007450599,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,260183.0,11226,Sedang,7.302552434248202,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,655319.0,11226,Sedang,2.8993513082941287,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,466355.0,11226,Sedang,4.074149521287431,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,529945.0,11226,Sedang,3.5852777174989856,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,996300.0,11226,Sedang,1.907056107598113,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,415354.0,11226,Sedang,4.5744112251236295,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,336764.0,11226,Sedang,5.641933223266145,0.15901473684210526,1
ACEH,MAKANAN,PERKOTAAN,2015,302128.0,1900000.0,752118.0,11226,Sedang,2.5261993463791588,0.15901473684210526,1
ACEH,MAKANAN,PERDESAAN,2015,297479.0,1900000.0,395136.0,11226,Rendah,4.808471007450599,0.1565678947368421,1
ACEH,MAKANAN,PERDESAAN,2015,297479.0,1900000.0,260183.0,11226,Rendah,7.302552434248202,0.1565678947368421,1
ACEH,MAKANAN,PERDESAAN,2015,297479.0,1900000.0,655319.0,11226,Rendah,2.8993513082941287,0.1565678947368421,1
ACEH,MAKANAN,PERDESAAN,2015,297479.0,1900000.0,466355.0,11226,Rendah,4.074149521287431,0.1565678947368421,1
ACEH,MAKANAN,PERDESAAN,2015,297479.0,1900000.0,529945.0,11226,Rendah,3.5852777174989856,0.1565678947368421,1
